N,"K_Loop = 1, K _Recur = 1","K_Loop = 1, K _Recur = 50","K_Loop = 32, K _Recur = 1","K_Loop = 32, K _Recur = 50"
16,0.00028183,0.00020314,0.00019501,0.00002480
19,0.00018175,0.00007997,0.00002480,0.00001411
22,0.00012188,0.00005431,0.00003721,0.00001411
26,0.00011034,0.00006287,0.00001924,0.00001582
32,0.00027584,0.00007313,0.00001540,0.00001454
38,0.00015096,0.00011076,0.00002010,0.00017748
45,0.00011675,0.00008425,0.00002010,0.00003122
53,0.00016379,0.00020399,0.00003378,0.00004576
64,0.00011761,0.00011461,0.00004704,0.00005132
76,0.00015738,0.00010520,0.00006115,0.00004747
90,0.00020784,0.00010520,0.00005816,0.00002224
107,0.00019159,0.00010178,0.00005260,0.00004020
128,0.00018988,0.00011846,0.00005859,0.00003678
152,0.00033400,0.00021597,0.00008810,0.00007099
181,0.00034212,0.00020271,0.00006928,0.00005089
215,0.00040499,0.00022324,0.00009922,0.00006073
256,0.00044604,0.00024676,0.00009537,0.00006543
304,0.00094726,0.00043749,0.00016165,0.00010478
362,0.00072659,0.00045331,0.00015567,0.00009152
430,0.00083863,0.00047555,0.00018218,0.00010691
512,0.00099601,0.00056151,0.00018304,0.00009066
608,0.00157591,0.00093571,0.00028952,0.00018090
724,0.00165845,0.00109480,0.00029808,0.00027669
861,0.00224519,0.00111618,0.00042466,0.00027883
1024,0.00221525,0.00129494,0.00040756,0.00028354
1217,0.00467085,0.00214127,0.00092374,0.00051447
1448,0.00381511,0.00230249,0.00085232,0.00050292
1722,0.00413115,0.00249708,0.00096009,0.00055895
2048,0.00590335,0.00273656,0.00077063,0.00057520
2435,0.00819772,0.00632031,0.00128296,0.00168496
2896,0.00785987,0.00806857,0.00127826,0.00083521
3444,0.00592687,0.00831532,0.00150235,0.00094212
4096,0.00627626,0.01006870,0.00147370,0.00091475
4870,0.01117630,0.01661700,0.00256123,0.00167341
5792,0.01267780,0.01737350,0.00270791,0.00158746
6888,0.01988120,0.01224030,0.00348496,0.00175296
8192,0.02449480,0.01263040,0.00312958,0.00198988
9741,0.02775220,0.02198450,0.00536921,0.00484533
11585,0.02415990,0.02253310,0.00633956,0.00343621
13777,0.02534410,0.02456880,0.00598332,0.00366543
16384,0.02865800,0.02712490,0.00677192,0.00367912
19483,0.04718700,0.04515690,0.01017730,0.00788467
23170,0.05022040,0.04834900,0.00790563,0.00712388
27554,0.05613950,0.05332470,0.00870791,0.00617405
32768,0.06214680,0.05914940,0.00890976,0.00552274
38967,0.10629500,0.09867020,0.01570780,0.01191450
46340,0.11334700,0.10424700,0.01595450,0.01181310
55108,0.16062000,0.12738100,0.01847300,0.01273000
65536,0.29487700,0.12672500,0.02318190,0.01194100
77935,0.22247400,0.22392400,0.04236560,0.02456790
92681,0.23539400,0.22359900,0.03411700,0.02529710
110217,0.31174600,0.26476800,0.03850090,0.02738700
131072,0.37152300,0.27748300,0.03714270,0.02621910
155871,0.63744300,0.46020200,0.07128320,0.05343630
185363,0.57326800,0.49712100,0.07246010,0.05699060
220435,0.56053900,0.51929700,0.08488740,0.05993970
262144,0.61369500,0.60152100,0.08145370,0.06501000
311743,1.29341000,1.03005000,0.15302700,0.12554100
370727,1.15000000,1.14982000,0.16398300,0.11964200
440871,1.41538000,1.12079000,0.18720800,0.13924000
524288,1.75762000,1.23529000,0.17281300,0.12746400
623487,2.58095000,2.07381000,0.33313000,0.24636500
741455,3.30849000,2.46983000,0.32006400,0.27952600
881743,3.27330000,2.61546000,0.36055600,0.26806900
1048576,3.19435000,3.06039000,0.35635900,0.26566300
1246974,5.76808000,5.43337000,0.65669200,0.55178800
1482910,4.99676000,5.28951000,0.66431800,0.54283100
1763487,5.55290000,5.71289000,0.74403700,0.60675700
2097152,6.33122000,6.22649000,0.73337600,0.58535800
2493948,10.90250000,10.40370000,1.33381000,1.12983000
2965820,11.48560000,11.14740000,1.36259000,1.12185000
3526975,12.22140000,11.84170000,1.53908000,1.22805000
4194304,13.42200000,13.03380000,1.53650000,1.22969000
4987896,26.46780000,21.90370000,2.73463000,2.21894000
5931641,,,2.89377000,2.26191000
7053950,,,3.30748000,2.50229000
8388608,,,3.13338000,2.60113000
9975792,,,6.20819000,5.33177000
